source_asset_id,target_asset_id,connection_type,relationship_strength
AST_0001,AST_0002,Monitors,0.96
AST_0001,AST_0003,Monitors,0.58
AST_0001,AST_0004,Monitors,0.64
AST_0001,AST_0005,Supplies,0.58
AST_0001,AST_0006,Supplies,0.56
AST_0005,AST_0007,Monitors,0.51
AST_0002,AST_0008,Monitors,0.53
AST_0003,AST_0009,Monitors,0.59
AST_0004,AST_0010,Monitors,0.53
AST_0002,AST_0011,Monitors,0.8
AST_0012,AST_0013,Monitors,0.84
AST_0012,AST_0014,Monitors,0.7
AST_0012,AST_0015,Monitors,0.66
AST_0012,AST_0016,Supplies,0.75
AST_0012,AST_0017,Supplies,0.94
AST_0016,AST_0018,Monitors,0.93
AST_0013,AST_0019,Monitors,0.52
AST_0014,AST_0020,Monitors,0.59
AST_0015,AST_0021,Monitors,0.62
AST_0013,AST_0022,Monitors,0.62
AST_0023,AST_0024,Monitors,0.79
AST_0023,AST_0025,Monitors,0.71
AST_0023,AST_0026,Monitors,0.52
AST_0023,AST_0027,Supplies,0.69
AST_0023,AST_0028,Supplies,0.76
AST_0027,AST_0029,Monitors,0.55
AST_0024,AST_0030,Monitors,0.92
AST_0025,AST_0031,Monitors,0.53
AST_0026,AST_0032,Monitors,0.96
AST_0024,AST_0033,Monitors,0.55
AST_0034,AST_0035,Monitors,0.92
AST_0034,AST_0036,Monitors,0.95
AST_0034,AST_0037,Monitors,0.99
AST_0034,AST_0038,Supplies,0.9
AST_0034,AST_0039,Supplies,0.89
AST_0038,AST_0040,Monitors,0.82
AST_0035,AST_0041,Monitors,0.89
AST_0036,AST_0042,Monitors,0.57
AST_0037,AST_0043,Monitors,0.77
AST_0035,AST_0044,Monitors,0.76
AST_0045,AST_0046,Monitors,0.93
AST_9999,AST_0047,Monitors,0.73
AST_0045,AST_0048,Monitors,0.69
AST_0045,AST_0049,Supplies,0.82
AST_0045,AST_0050,Supplies,0.63
AST_0049,AST_0051,Monitors,0.57
AST_0046,AST_0052,Monitors,0.74
AST_0047,AST_0053,Monitors,0.71
AST_0048,AST_0054,Monitors,0.62
AST_0046,AST_0055,Monitors,0.68
AST_0056,AST_0057,Monitors,0.68
AST_9999,AST_0058,Monitors,0.66
AST_0056,AST_0059,Monitors,0.69
AST_0056,AST_0060,Supplies,0.84
AST_0056,AST_0061,Supplies,0.65
AST_0060,AST_0062,Monitors,0.97
AST_0057,AST_0063,Monitors,0.96
AST_0058,AST_0064,Monitors,0.74
AST_0059,AST_0065,Monitors,0.66
AST_0057,AST_0066,Monitors,0.77
AST_0001,AST_0002,Monitors,0.96
