asset_id,site_id,building_id,asset_name,asset_type,manufacturer,installation_date,capacity,parent_asset_id
AST_0001,SITE_A,SITE_A_B1,Chiller-SITE_A_B1-1,Chiller,,2018-07-16,463.3,
AST_0002,SITE_A,SITE_A_B1,AHU-SITE_A_B1-1,AHU,Carrier,2019-03-20,16417.1,AST_0001
AST_0003,SITE_A,SITE_A_B1,AHU-SITE_A_B1-2,AHU,Carrier,2021-02-03,10562.0,AST_0001
AST_0004,SITE_A,SITE_A_B1,AHU-SITE_A_B1-3,AHU,Johnson Controls,2022-09-16,11651.2,AST_0001
AST_0005,SITE_A,SITE_A_B1,Pump-SITE_A_B1-1,Pump,Daikin,2018-07-22,70.5,AST_0001
AST_0006,SITE_A,SITE_A_B1,Pump-SITE_A_B1-2,Pump,Johnson Controls,2018-12-30,91.4,AST_0001
AST_0007,SITE_A,SITE_A_B1,EnergyMeter-SITE_A_B1-1,EnergyMeter,Johnson Controls,2022-01-31,,AST_0005
AST_0008,SITE_A,SITE_A_B1,EnvSensor-SITE_A_B1-1,EnvSensor,Carrier,2021-04-17,,AST_0002
AST_0009,SITE_A,SITE_A_B1,EnvSensor-SITE_A_B1-2,EnvSensor,Trane,2020-06-22,,AST_0003
AST_0010,SITE_A,SITE_A_B1,EnvSensor-SITE_A_B1-3,EnvSensor,Carrier,2020-10-15,,AST_0004
AST_0011,SITE_A,SITE_A_B1,EnvSensor-SITE_A_B1-4,EnvSensor,Daikin,2023-08-31,,AST_0002
AST_0012,SITE_A,SITE_A_B2,Chiller-SITE_A_B2-1,Chiller,Siemens,2022-08-17,682.9,
AST_0013,SITE_A,SITE_A_B2,AHU-SITE_A_B2-1,AHU,Johnson Controls,2019-06-12,7998.6,AST_0012
AST_0014,SITE_A,SITE_A_B2,AHU-SITE_A_B2-2,AHU,Johnson Controls,2022-10-20,15577.5,AST_0012
AST_0015,SITE_A,SITE_A_B2,AHU-SITE_A_B2-3,AHU,Daikin,2021-05-07,7097.0,AST_0012
AST_0016,SITE_A,SITE_A_B2,Pump-SITE_A_B2-1,Pump,Johnson Controls,2020-08-25,81.2,AST_0012
AST_0017,SITE_A,SITE_A_B2,Pump-SITE_A_B2-2,Pump,Johnson Controls,2021-06-18,44.3,AST_0012
AST_0018,SITE_A,SITE_A_B2,EnergyMeter-SITE_A_B2-1,EnergyMeter,Carrier,2021-08-19,,AST_0016
AST_0019,SITE_A,SITE_A_B2,EnvSensor-SITE_A_B2-1,EnvSensor,Siemens,2023-12-24,,AST_0013
AST_0020,SITE_A,SITE_A_B2,EnvSensor-SITE_A_B2-2,EnvSensor,Trane,2023-07-12,,AST_0014
AST_0021,SITE_A,SITE_A_B2,EnvSensor-SITE_A_B2-3,EnvSensor,Johnson Controls,2024-01-01,,AST_0015
AST_0022,SITE_A,SITE_A_B2,EnvSensor-SITE_A_B2-4,EnvSensor,Carrier,2020-01-06,,AST_0013
AST_0023,SITE_B,SITE_B_B1,Chiller-SITE_B_B1-1,Chiller,Carrier,2022-04-27,500.6,
AST_0024,SITE_B,SITE_B_B1,AHU-SITE_B_B1-1,AHU,Daikin,2020-12-26,9522.7,AST_0023
AST_0025,SITE_B,SITE_B_B1,AHU-SITE_B_B1-2,AHU,Trane,2021-08-28,6770.1,AST_0023
